Fecha,Plataforma,Tipo_Contenido,Impresiones,Likes,Comentarios,Seguidores_Ganados,Ventas_Generadas
2024-05-10,Facebook,Reel,5898,2023,545,228,38
2024-12-31,Facebook,Video,6029,6397,1050,165,146
2024-11-10,Pinterest,Post,29562,7430,837,57,178
2022-05-02,Pinterest,Post,37186,4697,801,1,18
2023-04-12,Pinterest,Post,17951,1860,564,87,75
2022-11-27,Instagram,Post,49678,4468,766,252,51
2022-03-29,Instagram,Post,7437,2691,471,231,174
2024-05-21,Pinterest,Reel,40386,2278,1129,-6,119
2022-05-11,TikTok,Story,11360,6692,679,283,157
2024-02-09,Facebook,Post,25642,3441,689,139,45
2022-12-10,Facebook,Post,25779,4228,1169,184,148
2024-03-16,Instagram,Video,38606,2400,142,92,74
2023-01-21,Facebook,Reel,45740,4407,582,147,123
2024-08-13,TikTok,Reel,36408,4929,714,232,47
2022-10-04,Facebook,Story,41264,5369,232,165,61
2023-04-05,Instagram,Reel,48757,7457,285,206,57
2022-01-22,Instagram,Video,14701,5059,688,-5,17
2022-09-10,TikTok,Video,41044,2789,832,135,107
2024-01-18,TikTok,Story,38211,5089,435,90,186
2024-05-06,Facebook,Video,46154,2780,1068,-20,47
2023-04-20,Facebook,Post,9497,1368,306,20,62
2024-12-18,Instagram,Post,41066,1585,1114,27,11
2023-05-26,TikTok,Video,20675,4834,537,87,33
2023-12-01,TikTok,Story,41360,2493,773,140,188
2024-09-02,TikTok,Reel,3725,1822,448,140,101
2022-07-09,Facebook,Story,45078,3259,1061,107,86
2024-08-15,TikTok,Reel,48182,4984,264,189,180
2023-11-18,Instagram,Video,35728,927,743,130,24
2024-08-15,Instagram,Video,42005,2920,800,234,189
2023-07-17,Facebook,Post,47188,3250,74,197,131
2024-04-11,Pinterest,Reel,23610,4194,987,9,140
2023-10-09,Facebook,Story,11254,3797,485,24,169
2022-01-21,Pinterest,Video,27155,2886,1172,59,48
2024-04-20,TikTok,Story,44101,342,28,18,77
2022-06-16,Facebook,Post,3614,1701,969,219,183
2023-01-23,Instagram,Reel,27002,4681,750,24,174
2023-08-24,TikTok,Reel,48628,4456,849,57,135
2022-11-12,Instagram,Video,20528,586,329,267,54
2022-01-14,TikTok,Reel,18087,6072,802,259,17
2022-08-30,Facebook,Video,43219,2736,22,95,34
2024-02-16,Pinterest,Post,35833,283,48,248,159
2023-07-19,TikTok,Reel,3674,5378,159,291,151
2024-06-16,Pinterest,Video,35898,2702,871,32,6
2022-04-02,TikTok,Story,36429,6287,926,47,12
2024-08-13,Instagram,Video,4821,2424,747,161,125
2023-05-24,Instagram,Reel,30935,2322,229,13,111
2024-02-15,TikTok,Post,46472,1016,221,263,68
2022-02-04,Pinterest,Reel,7599,939,35,285,99
2022-07-25,Facebook,Reel,24260,3913,1087,228,89
2024-10-22,Facebook,Video,11860,6204,902,90,41
2024-10-18,Instagram,Story,10813,3450,939,73,108
2023-07-20,Facebook,Reel,46770,7229,449,158,158
2023-12-04,Instagram,Story,20962,84,1135,26,109
2023-02-06,Facebook,Video,6301,4592,534,261,25
2023-12-31,TikTok,Story,14630,3573,742,71,75
2022-06-11,Instagram,Video,14771,1813,878,191,31
2022-07-21,Instagram,Post,16575,3341,570,54,90
2024-09-22,TikTok,Story,37419,2538,80,181,124
2022-09-27,Instagram,Story,42179,2750,551,276,125
2024-03-26,Facebook,Post,19484,1608,271,287,51
2023-04-01,Facebook,Story,23059,4740,321,190,147
2024-10-13,Instagram,Post,13361,6171,1149,113,102
